NEET 2025 Practice Paper — SET 1 (All 180 Questions),,,,,,,,
qno,subject,topic,question,optionA,optionB,optionC,optionD,correctAnswer
59,Chemistry,Coordination Chemistry,EDTA is a:,Monodentate ligand,Bidentate ligand,Hexadentate ligand,Tridentate ligand,C
60,Chemistry,Haloalkanes,"In SN2 reaction, the configuration at the carbon centre undergoes:",Retention,Inversion,Racemization,No change,B
61,Chemistry,Alcohols,"Lucas test is used to distinguish between primary, secondary and tertiary alcohols. Tertiary alcohol gives turbidity:",After 5 minutes,No turbidity,Immediately,After 1 minute,C
62,Chemistry,Carbonyl Compounds,Aldol condensation occurs when aldehydes or ketones having α-hydrogen are treated with:,Dilute NaOH,Conc. H₂SO₄,Grignard reagent,LiAlH₄,A
63,Chemistry,Carboxylic Acids,Which of the following has highest acidity?,CH₃COOH,ClCH₂COOH,Cl₂CHCOOH,Cl₃CCOOH,D
64,Chemistry,Amines,"In Hinsberg test, primary amines react with benzenesulfonyl chloride to give a product soluble in:",Dilute HCl,NaOH,Water,Ether,B
65,Chemistry,Biomolecules,Which amino acid is essential and cannot be synthesized in the human body?,Glycine,Alanine,Lysine,Serine,C
66,Chemistry,Polymers,"Nylon-6,6 is formed by condensation of:",Caprolactam,Hexamethylenediamine and adipic acid,Hexamethylenediamine and terephthalic acid,Glycol and dimethyl terephthalate,B
67,Chemistry,s-Block Elements,Which alkali metal reacts with nitrogen directly?,Li,Na,K,Cs,A
68,Chemistry,p-Block Elements,The strongest reducing agent among hydrides of Group 15 is:,NH₃,PH₃,AsH₃,BiH₃,D
69,Chemistry,Atomic Structure,Which quantum number determines the energy of an electron in hydrogen atom?,Principal (n),Azimuthal (l),Magnetic (m),Spin (s),A
70,Chemistry,Chemical Bonding,The order of bond dissociation energy among halogens is:,F₂>Cl₂>Br₂>I₂,Cl₂>Br₂>F₂>I₂,Cl₂>F₂>Br₂>I₂,I₂>Br₂>Cl₂>F₂,C
71,Chemistry,Thermodynamics,Enthalpy of formation of water is −286 kJ/mol. The bond energy of O−H bond (approximately) is:,463 kJ/mol,286 kJ/mol,143 kJ/mol,572 kJ/mol,A
72,Chemistry,Equilibrium,Henderson-Hasselbalch equation is used for calculating pH of:,Strong acid solution,Buffer solution,Salt solution,Pure water,B
73,Chemistry,Electrochemistry,The standard cell potential of Zn-Cu Daniell cell is:,1.1 V,0.76 V,0.34 V,1.44 V,A
74,Chemistry,Chemical Kinetics,Arrhenius equation relates rate constant k with temperature. The slope of ln k vs 1/T graph is:,Ea/R,-Ea/R,R/Ea,A (frequency factor),B
75,Chemistry,Solutions,Osmotic pressure π = CRT. For a 0.2 M glucose solution at 300K (R=0.082 L·atm/mol·K):,4.92 atm,2.46 atm,9.84 atm,1.23 atm,A
76,Chemistry,d-Block Elements,The catalyst used in Haber process for synthesis of ammonia is:,Platinum,Iron,Vanadium pentoxide,Nickel,B
77,Chemistry,Coordination Chemistry,"According to Crystal Field Theory, Δo is larger for:",Weak field ligands,Strong field ligands,Halide ligands,Monodentate ligands,B
78,Chemistry,Haloalkanes,The order of reactivity in SN1 reaction is:,Primary > Secondary > Tertiary,Secondary > Primary > Tertiary,Tertiary > Secondary > Primary,All equal,C
79,Chemistry,Phenols,Phenol when treated with bromine water gives:,Monobromophenol,"2,4,6-tribromophenol",4-bromophenol,2-bromophenol,B
80,Chemistry,Carbonyl Compounds,Tollens' reagent (ammonical AgNO₃) gives silver mirror test positive with:,Acetone,Benzaldehyde,Cyclohexanone,Methyl ketone,B
81,Chemistry,Biomolecules,The glycosidic linkage in sucrose is between:,C1 of glucose and C4 of fructose,C1 of glucose and C2 of fructose,C1 of glucose and C6 of fructose,C4 of glucose and C1 of fructose,B
82,Chemistry,p-Block Elements,White phosphorus (P₄) has the structure of:,Regular tetrahedron,Square planar,Trigonal bipyramidal,Octahedral,A
83,Chemistry,Surface Chemistry,Brownian motion in colloids is due to:,Gravity,Unequal bombardment by dispersion medium,Charge on particles,Temperature gradient,B
84,Chemistry,Environmental Chemistry,The main reason for acid rain is the presence of:,CO₂,CO,SO₂ and NO₂,O₃,C
85,Chemistry,Redox Reactions,"In the reaction MnO₄⁻ + Fe²⁺ → Mn²⁺ + Fe³⁺ (acidic medium), the moles of Fe²⁺ oxidized per mole of MnO₄⁻ is:",3,4,5,6,C
86,Chemistry,States of Matter,"At constant pressure, the volume of a gas is directly proportional to temperature. This is:",Boyle's Law,Charles' Law,Gay-Lussac's Law,Graham's Law,B
87,Chemistry,Atomic Structure,The electronic configuration of Cu (Z=29) is:,[Ar] 3d⁹ 4s²,[Ar] 3d¹⁰ 4s¹,[Ar] 3d⁸ 4s²,[Ar] 4s² 4p¹,B
88,Chemistry,Amines,The pKa of aniline is much higher than that of methylamine because:,Benzene ring is electron withdrawing,Lone pair of N delocalizes into ring,N is more electronegative in aniline,Steric effect,B
89,Chemistry,Polymers,Buna-S rubber is a copolymer of:,Styrene and isoprene,Butadiene and styrene,Isoprene and styrene,Butadiene and isobutylene,B
90,Chemistry,Haloalkanes,Fluorocarbon compounds are chemically inert due to:,Weak C-F bond,Strong C-F bond due to small size of F,Low electronegativity of F,High polarity,B
91,Botany,Cell Biology,The middle lamella is primarily composed of:,Cellulose,Pectin,Lignin,Suberin,B
92,Botany,Cell Biology,Which organelle is known as the 'powerhouse of the cell'?,Golgi body,Ribosome,Mitochondria,Lysosome,C
93,Botany,Cell Biology,The contractile vacuole in Amoeba mainly functions to:,Store food,Regulate water balance,Aid in locomotion,Digest food,B
94,Botany,Cell Division,"In meiosis II, the number of chromosomes in each daughter cell of a human cell (original 2n=46) is:",46,23,12,92,B
95,Botany,Cell Division,Crossing over occurs during which stage of meiosis?,Leptotene,Zygotene,Pachytene,Diplotene,C
96,Botany,Biomolecules,Which of the following is a non-reducing sugar?,Glucose,Maltose,Lactose,Sucrose,D
97,Botany,Plant Morphology,The tap root system is characteristic of:,Monocots,Dicots,Pteridophytes,Bryophytes,B
98,Botany,Plant Morphology,Stipules are outgrowths at the base of:,Leaf,Petiole,Stem,Root,B
99,Botany,Anatomy,Casparian strips are present in:,Epidermis,Cortex,Endodermis,Pericycle,C
100,Botany,Anatomy,The vascular bundles in monocot stem are:,Open and arranged in a ring,Closed and scattered,Open and scattered,Closed and arranged in ring,B
101,Botany,Mineral Nutrition,Nitrogen fixation by free-living aerobic bacteria is performed by:,Rhizobium,Azotobacter,Nitrobacter,Nitrosomonas,B
102,Botany,Mineral Nutrition,Which element is a component of chlorophyll and is essential for photosynthesis?,Iron,Manganese,Magnesium,Zinc,C
103,Botany,Photosynthesis,The C4 cycle is also known as:,Calvin cycle,Hatch-Slack pathway,Krebs cycle,Shikimic acid pathway,B
104,Botany,Photosynthesis,"In the Z-scheme of photosynthesis, non-cyclic photophosphorylation produces:",Only ATP,Only NADPH,Both ATP and NADPH,Only O₂,C
105,Botany,Respiration,The net gain of ATP from complete oxidation of one glucose molecule in eukaryotes is:,36-38 ATP,38-40 ATP,30-32 ATP,2 ATP,A
106,Botany,Respiration,Which enzyme catalyzes the first reaction of glycolysis (phosphorylation of glucose)?,Phosphoglucose isomerase,Hexokinase,Phosphofructokinase,Pyruvate kinase,B
107,Botany,Plant Growth,Apical dominance is caused by:,Cytokinin,Auxin,Gibberellin,Abscisic acid,B
108,Botany,Plant Growth,The hormone responsible for fruit ripening and senescence is:,Ethylene,Auxin,Cytokinin,GA₃,A
109,Botany,Plant Growth,Vernalization is the process by which:,Seeds germinate after cold treatment,Flowers are induced by cold temperature,Roots grow towards gravity,Leaves lose water,B
110,Botany,Reproduction,The endosperm of angiosperms is:,Diploid (2n),Triploid (3n),Haploid (n),Tetraploid (4n),B
111,Botany,Reproduction,Double fertilization is unique to:,Gymnosperms,Angiosperms,Bryophytes,Pteridophytes,B
112,Botany,Genetics,A cross between Tt × tt is:,Monohybrid cross,Test cross,Reciprocal cross,Back cross,B
113,Botany,Genetics,"In incomplete dominance, the F₁ hybrid of red × white flowers is:",Red,White,Pink,Variegated,C
114,Botany,Molecular Biology,The enzyme that unwinds the DNA double helix during replication is:,DNA polymerase,Helicase,Ligase,Primase,B
115,Botany,Molecular Biology,The anticodon is present on:,mRNA,tRNA,rRNA,DNA,B
116,Botany,Ecology,Lichens are considered as pollution indicators because they are sensitive to:,CO₂,SO₂,CO,NO₂,B
117,Botany,Ecology,"In a food chain, the energy available at each successive trophic level is:",10% of previous level,20% of previous level,50% of previous level,100% of previous level,A
118,Botany,Plant Kingdom,"Alternation of generation is found in all plants. In bryophytes, the dominant phase is:",Sporophyte,Gametophyte,Both equally,Neither,B
119,Botany,Plant Kingdom,Pteridophytes are the first land plants to have:,Seeds,Vascular tissue,Flowers,Fruits,B
120,Botany,Biotechnology,Restriction enzymes are also called molecular scissors because they:,Cut DNA at specific sequences,Join DNA fragments,Replicate DNA,Transcribe DNA,A
121,Botany,Cell Biology,Lysosomes contain enzymes that work at:,pH 7.4,pH 5 (acidic),pH 9 (alkaline),pH 6.8,B
122,Botany,Photosynthesis,Chlorophyll a absorbs light maximally at:,450 nm (blue) and 680 nm (red),550 nm (green),700 nm (far red),350 nm (UV),A
123,Botany,Plant Morphology,The type of placentation where ovules are borne on the inner wall of the ovary is:,Axile,Parietal,Free central,Basal,B
124,Botany,Anatomy,Which of the following is responsible for the secondary growth in dicot stem?,Cork cambium,Vascular cambium,Apical meristem,Intercalary meristem,B
125,Botany,Mineral Nutrition,Deficiency of which element causes chlorosis (yellowing) of younger leaves?,Nitrogen,Iron,Calcium,Potassium,B
126,Botany,Plant Growth,ABA (Abscisic acid) is known as the stress hormone because it:,Promotes growth under drought,Causes stomatal closure during water stress,Promotes seed germination,Inhibits root growth,B
127,Botany,Reproduction,Apomixis is a type of reproduction where:,Seeds are formed without fertilization,Fruits form without fertilization (parthenocarpy),Vegetative propagation occurs,Clonal propagation through seeds,A
128,Botany,Genetics,The law of independent assortment holds true when genes are located on:,Same chromosome,Different chromosomes,Sex chromosomes only,Autosomes only,B
129,Botany,Molecular Biology,Sigma factor in bacterial transcription is responsible for:,Recognizing and binding to the promoter,Terminating transcription,Elongating the RNA chain,Adding 5' cap,A
130,Botany,Ecology,Mutualistic association between fungi and roots of higher plants is called:,Lichen,Mycorrhiza,Rhizobium association,Parasitism,B
131,Botany,Plant Kingdom,"In Pinus, the male cone produces:",Megaspores,Microspores,Seeds,Ovules,B
132,Botany,Biotechnology,"Ti plasmid, used as a vector in plant transformation, is found in:",Agrobacterium tumefaciens,Bacillus thuringiensis,Rhizobium,Pseudomonas,A
133,Botany,Cell Division,MPF (Maturation Promoting Factor) promotes entry into M phase. It is a complex of:,Cyclin B and CDK1,Cyclin D and CDK4,Cyclin A and CDK2,Cyclin E and CDK2,A
134,Botany,Respiration,RQ (Respiratory Quotient) for carbohydrates is:,0.7,0.8,1,More than 1,C
135,Botany,Plant Growth,Photoperiodism is controlled by the pigment:,Chlorophyll,Phytochrome,Carotenoid,Xanthophyll,B
136,Zoology,Animal Kingdom,Notochord is derived from which germ layer?,Ectoderm,Mesoderm,Endoderm,None of these,B
137,Zoology,Animal Kingdom,Which of the following is a characteristic exclusive to chordates?,Bilateral symmetry,Coelom,Post-anal tail,Closed circulatory system,C
138,Zoology,Animal Kingdom,"In Phylum Porifera, the water current is expelled through:",Ostia,Oscula,Choanocytes,Spongocoel,B
139,Zoology,Animal Kingdom,The larval stage of Fasciola hepatica that infects snail is:,Miracidium,Cercaria,Metacercaria,Redia,A
140,Zoology,Animal Kingdom,Malpighian tubules are the excretory organs of:,Earthworm,Cockroach,Frog,Hydra,B
141,Zoology,Human Physiology,The enzyme pepsin is secreted by:,Chief (peptic) cells,Parietal cells,G cells,Goblet cells,A
142,Zoology,Human Physiology,The bicuspid (mitral) valve is present between:,Right atrium and right ventricle,Left atrium and left ventricle,Right ventricle and pulmonary artery,Left ventricle and aorta,B
143,Zoology,Human Physiology,Erythroblastosis fetalis occurs when:,Mother is Rh+ and fetus is Rh-,Mother is Rh- and fetus is Rh+,Both mother and fetus are Rh-,Both are Rh+,B
144,Zoology,Human Physiology,The normal glomerular filtration rate (GFR) in humans is approximately:,12.5 mL/min,125 mL/min,1250 mL/min,1.25 mL/min,B
145,Zoology,Human Physiology,Which part of the brain controls breathing?,Cerebrum,Cerebellum,Medulla oblongata,Hypothalamus,C
146,Zoology,Human Physiology,The resting membrane potential of a nerve cell is approximately:,+70 mV,-70 mV,0 mV,-55 mV,B
147,Zoology,Human Physiology,Sertoli cells in testes provide nourishment to:,Leydig cells,Spermatogonia,Developing spermatids,Spermatozoa,C
148,Zoology,Human Physiology,The hormone responsible for milk ejection (let-down reflex) is:,Prolactin,Oxytocin,Estrogen,FSH,B
149,Zoology,Human Physiology,Which of the following is the correct sequence of air movement during inhalation?,Nostrils→pharynx→larynx→trachea→bronchi→bronchioles→alveoli,Nostrils→larynx→pharynx→trachea→bronchi→alveoli,Mouth→trachea→pharynx→bronchi→alveoli,Trachea→bronchi→larynx→alveoli,A
150,Zoology,Human Physiology,The enzyme that converts fibrinogen to fibrin during blood clotting is:,Prothrombin,Thrombin,Factor X,Plasmin,B
151,Zoology,Genetics,A person with genotype IAi has blood group:,AB,O,A,B,C
152,Zoology,Genetics,Colour blindness gene is located on:,Autosome,Y chromosome,X chromosome,Both X and Y,C
153,Zoology,Genetics,"In a dihybrid cross AaBb × AaBb, the ratio of AABB : AaBb in offspring is:",01:04,01:02,01:03,02:03,A
154,Zoology,Evolution,Which evidence of evolution is provided by comparative embryology?,Similar early embryonic development across phyla,Fossil records,Homologous organs,Vestigial organs,A
155,Zoology,Evolution,Industrial melanism in Biston betularia is an example of:,Genetic drift,Natural selection,Mutation,Gene flow,B
156,Zoology,Molecular Biology,Okazaki fragments are formed during:,Transcription,Translation,DNA replication (lagging strand),Recombination,C
157,Zoology,Human Health,The causative agent of malaria is Plasmodium. It is transmitted by:,Male Anopheles mosquito,Female Anopheles mosquito,Aedes mosquito,Culex mosquito,B
158,Zoology,Human Health,Active immunity differs from passive immunity in that:,It is acquired from mother,It involves administration of antibodies,It is long-lasting as memory cells are formed,It acts immediately,C
159,Zoology,Human Health,The antibody most abundant in serum and involved in secondary immune response is:,IgM,IgA,IgE,IgG,D
160,Zoology,Biotechnology,"Dolly, the first cloned sheep, was produced by:",In vitro fertilization,Somatic cell nuclear transfer,Embryo splitting,Parthenogenesis,B
161,Zoology,Animal Kingdom,Hemocyanin is the respiratory pigment in:,Insects,Molluscs and Arthropods,Annelids,Echinoderms,B
162,Zoology,Human Physiology,The enzyme amylase in saliva breaks down:,Proteins,Fats,Starch,Nucleic acids,C
163,Zoology,Human Physiology,Loop of Henle plays a major role in:,Glomerular filtration,Tubular reabsorption of water,Selective reabsorption of glucose,Secretion of urea,B
164,Zoology,Human Physiology,Insulin is secreted by the β cells of islets of Langerhans in response to:,Low blood glucose,High blood glucose,High glucagon,Low glycogen,B
165,Zoology,Human Physiology,The hormone that increases BMR and promotes neural development is:,Cortisol,Thyroxine,Growth hormone,ADH,B
166,Zoology,Human Physiology,"During muscle contraction, the I-band:",Remains unchanged,Increases,Decreases,Disappears,C
167,Zoology,Genetics,"Turner syndrome (45, X0) results from:",Non-disjunction in female meiosis,Non-disjunction in male meiosis,Both A and B possible,Translocation,C
168,Zoology,Evolution,Hardy-Weinberg equilibrium can be disturbed by:,Random mating,Large population size,Natural selection,No mutation,C
169,Zoology,Human Health,Which cells of the immune system are responsible for cell-mediated immunity?,B lymphocytes,T lymphocytes,NK cells,Macrophages,B
170,Zoology,Animal Kingdom,The water vascular system is a characteristic feature of:,Coelenterata,Echinodermata,Annelida,Arthropoda,B
171,Zoology,Human Physiology,The corpus luteum secretes which hormone to maintain pregnancy?,Estrogen only,Progesterone,LH,FSH,B
172,Zoology,Molecular Biology,The enzyme reverse transcriptase is found in:,Bacteriophages,Retroviruses,Adenoviruses,Bacterium,B
173,Zoology,Ecology,The interaction where one species benefits and the other is neither harmed nor benefited is:,Mutualism,Commensalism,Predation,Parasitism,B
174,Zoology,Human Health,Widal test is used for the diagnosis of:,Typhoid,Malaria,TB,Cholera,A
175,Zoology,Animal Kingdom,The process of ecdysis (moulting) in arthropods is controlled by the hormone:,Juvenile hormone,Ecdysone,Insulin,Thyroxine,B
176,Zoology,Human Physiology,Carbonic anhydrase enzyme is found in:,Plasma,RBC,WBC,Platelets,B
177,Zoology,Genetics,Pleiotropy refers to:,Many genes controlling one character,One gene controlling many characters,Multiple alleles,Codominance,B
178,Zoology,Evolution,Which of the following best describes convergent evolution?,Similar structures due to common ancestry,Similar structures due to similar environment in unrelated species,Different structures with same function from same ancestor,Gene flow between populations,B
179,Zoology,Human Health,The type of immunity transferred from mother to child through placenta is:,Active natural,Active artificial,Passive natural,Passive artificial,C
180,Zoology,Human Physiology,The pacemaker of the heart (SA node) is located in the:,Right atrium,Left atrium,Right ventricle,Interventricular septum,A
