NEET 2025 Practice Paper — SET 2 (All 180 Questions),,,,,,,,
qno,subject,topic,question,optionA,optionB,optionC,optionD,correctAnswer
71,Chemistry,Equilibrium,A weak acid HA has Ka = 1.8×10⁻⁵. The degree of ionisation in 0.1 M solution is:,0.134,0.0134,0.00134,1.34,B
72,Chemistry,Solutions,Which colligative property is most useful for determination of molar mass of macromolecules?,Osmotic pressure,Boiling point elevation,Freezing point depression,Relative lowering of vapour pressure,A
73,Chemistry,Electrochemistry,Faraday's second law of electrolysis states that masses of different substances deposited by the same quantity of electricity are:,Equal,Proportional to their equivalent weights,Inversely proportional to atomic mass,Proportional to valency,B
74,Chemistry,Chemical Kinetics,"If the rate of a reaction doubles for every 10°C rise in temperature, then the temperature coefficient is:",1,2,3,4,B
75,Chemistry,Atomic Structure,The maximum number of electrons in a subshell with l = 3 is:,6,10,14,18,C
76,Chemistry,d-Block Elements,The magnetic moment of Fe³⁺ ion (Z=26) is approximately:,5.92 BM,4.90 BM,3.87 BM,2.83 BM,A
77,Chemistry,Coordination Chemistry,EAN (Effective Atomic Number) of the metal in [Fe(CO)₅] is:,36,26,54,18,A
78,Chemistry,Haloalkanes,Which of the following undergoes E2 elimination most readily?,n-Butyl bromide,sec-Butyl bromide,tert-Butyl bromide,Methyl bromide,C
79,Chemistry,Phenols,The acidity of phenol is due to:,O-H bond polarity,Resonance stabilization of phenoxide ion,Inductive effect of benzene ring,Hyperconjugation,B
80,Chemistry,Carbonyl Compounds,Cannizzaro reaction is given by aldehydes without:,Carbonyl group,α-hydrogen,Benzene ring,OH group,B
81,Chemistry,Biomolecules,Enzymes are biological catalysts that are:,Proteins,Lipids,Carbohydrates,Nucleic acids,A
82,Chemistry,p-Block Elements,"In the reaction of Cl₂ with NaOH (cold and dilute), products formed are:",NaCl and NaClO₃,NaCl and NaClO,NaClO₄ and NaCl,HClO and NaCl,B
83,Chemistry,Surface Chemistry,The size of colloidal particles lies between:,1 nm to 1 μm,0.1 nm to 1 nm,1 μm to 1 mm,Less than 0.1 nm,A
84,Chemistry,Environmental Chemistry,Photochemical smog is caused by:,SO₂ and CO,"NO₂, O₃ and hydrocarbons under UV",Dust particles,CO₂ and CH₄,B
85,Chemistry,Some Basic Concepts,Molarity is defined as:,Moles of solute per kg of solvent,Moles of solute per litre of solution,Gram equivalent per litre,Mole fraction of solute,B
86,Chemistry,Redox Reactions,The number of electrons transferred in the reaction Cr₂O₇²⁻ → 2Cr³⁺ is:,3,6,12,2,B
87,Chemistry,States of Matter,Graham's law of diffusion states that rate of diffusion is inversely proportional to:,Density,Square root of density,Molar mass,Square root of molar mass,D
88,Chemistry,Chemical Bonding,Hydrogen bonding is strongest in:,HF,HCl,HBr,HI,A
89,Chemistry,Amines,Coupling reaction of diazonium salt with phenol gives:,Phenyl amine,An azo dye,Benzene,Benzoquinone,B
90,Chemistry,Polymers,Bakelite is a thermosetting polymer formed by condensation of:,Phenol and formaldehyde,Urea and formaldehyde,Melamine and formaldehyde,Phenol and acetaldehyde,A
91,Botany,Plant Kingdom,Vascular bundles with cambium (open type) are found in:,Monocots,Dicots,Pteridophytes only,Gymnosperms only,B
92,Botany,Morphology,Phyllotaxy refers to:,Arrangement of veins in leaf,Arrangement of leaves on stem,Shape of leaf blade,Modification of leaves,B
93,Botany,Morphology,Pneumatophores are modified roots found in:,Mangrove plants,Desert plants,Climbing plants,Parasitic plants,A
94,Botany,Anatomy,Bulliform cells are found in grass leaves and help in:,Photosynthesis,Rolling of leaves during drought,Water conduction,Gas exchange,B
95,Botany,Anatomy,"In dicot root, xylem is:",Polyarch,Tetrarch (diarch to hexarch),Multiarch,Biarch only,B
96,Botany,Cell Biology,The fluid mosaic model of plasma membrane was proposed by:,Robert Brown,Singer and Nicolson,Watson and Crick,Schleiden and Schwann,B
97,Botany,Cell Division,DNA replication occurs during which phase of cell cycle?,G1 phase,S phase,G2 phase,M phase,B
98,Botany,Cell Division,Spindle fibres are made of:,Actin,Tubulin,Myosin,Keratin,B
99,Botany,Biomolecules,Which fatty acid is unsaturated?,Stearic acid,Palmitic acid,Oleic acid,Butyric acid,C
100,Botany,Mineral Nutrition,The process of conversion of ammonia to nitrite by Nitrosomonas is called:,Nitrogen fixation,Nitrification,Denitrification,Ammonification,B
101,Botany,Mineral Nutrition,Hydroponics is:,Growing plants in soil,Growing plants in nutrient solution without soil,Tissue culture technique,Grafting method,B
102,Botany,Photosynthesis,The primary acceptor of CO₂ in C3 plants is:,OAA,RuBP,PEP,G3P,B
103,Botany,Photosynthesis,Oxygen evolved during photosynthesis comes from:,CO₂,H₂O,Both CO₂ and H₂O,Glucose,B
104,Botany,Photosynthesis,The P700 reaction centre is associated with:,Photosystem I,Photosystem II,Both,Neither,A
105,Botany,Respiration,"In fermentation (anaerobic), pyruvate is converted to ethanol and CO₂ by:",Yeast (Saccharomyces),Lactic acid bacteria,Acetobacter,Clostridium,A
106,Botany,Respiration,The net yield of NADH from one turn of Krebs cycle is:,2,3,4,6,B
107,Botany,Plant Growth,Gibberellins promote:,Root initiation,Stem elongation and seed germination,Fruit ripening,Abscission,B
108,Botany,Plant Growth,The process by which plants respond to the relative length of day and night is called:,Phototropism,Photoperiodism,Vernalization,Thigmotropism,B
109,Botany,Plant Growth,Cytokinin delays senescence by:,Inhibiting protein synthesis,Promoting RNA and protein synthesis,Inhibiting cell division,Promoting abscission,B
110,Botany,Reproduction,Microsporogenesis produces:,Pollen grains,Embryo sac,Seeds,Fruits,A
111,Botany,Reproduction,The female gametophyte of angiosperms is the:,Ovule,Embryo sac,Megaspore mother cell,Nucellus,B
112,Botany,Genetics,"In codominance, both alleles express themselves. Example:",ABO blood group IA and IB,Rh factor,Colour blindness,Sickle cell trait,A
113,Botany,Genetics,A gene present on X chromosome but absent on Y chromosome is said to be:,Autosomal,Y-linked,X-linked,Co-dominant,C
114,Botany,Molecular Biology,Chargaff's rule states that in DNA:,A+T = G+C,A = T and G = C,A = G and T = C,A+G = T+C,B
115,Botany,Molecular Biology,The promoter region in prokaryotic transcription is recognized by:,RNA polymerase core enzyme,Sigma factor,Rho factor,TATA binding protein,B
116,Botany,Ecology,The total amount of organic matter present in an ecosystem at a given time is called:,Primary productivity,Biomass,Standing crop,Net productivity,C
117,Botany,Ecology,Pyramid of energy is always:,Inverted,Upright,Spindle-shaped,Irregular,B
118,Botany,Plant Kingdom,"In liverworts, the sporophyte is:",Completely independent,Partially dependent on gametophyte,Completely dependent on gametophyte,Free-living,C
119,Botany,Plant Kingdom,Which of the following is a connecting link between bryophytes and pteridophytes?,Selaginella,Funaria,Marchantia,Psilotum,A
120,Botany,Biotechnology,PCR (Polymerase Chain Reaction) requires a heat-stable DNA polymerase called:,Taq polymerase,RNA polymerase,DNA polymerase I,Ligase,A
121,Botany,Cell Biology,Tonoplast is the membrane surrounding:,Nucleus,Vacuole,Mitochondria,Chloroplast,B
122,Botany,Photosynthesis,The dark reactions of photosynthesis (Calvin cycle) occur in:,Thylakoid membrane,Stroma of chloroplast,Grana,Inner membrane of chloroplast,B
123,Botany,Plant Morphology,The edible part of mango is:,Seed,Mesocarp,Endocarp,Exocarp,B
124,Botany,Anatomy,Sieve tubes in phloem are associated with:,Companion cells,Tracheids,Vessel elements,Fibers,A
125,Botany,Mineral Nutrition,Ferredoxin contains which metal as a cofactor?,Copper,Iron,Manganese,Molybdenum,B
126,Botany,Plant Growth,The three main steps of signal transduction in plants are:,"Reception, transduction, response","Absorption, conduction, response","Perception, amplification, effect","Detection, relay, output",A
127,Botany,Reproduction,"In angiosperms, the pollen tube enters the ovule through:",Chalaza,Integuments,Micropyle,Funicle,C
128,Botany,Genetics,A recessive gene causes disease only in:,Heterozygous condition,Homozygous recessive condition,Both heterozygous and homozygous,Carrier state,B
129,Botany,Molecular Biology,The post-transcriptional modification of pre-mRNA includes:,"Addition of 5' cap and poly-A tail, splicing",Only splicing,Only addition of 5' cap,Methylation only,A
130,Botany,Ecology,The concept of ecological niche was introduced by:,Charles Darwin,G.E. Hutchinson,Raunkiaer,A.G. Tansley,B
131,Botany,Plant Kingdom,Heterospory in pteridophytes leads to:,Bisexual gametophytes,Unisexual gametophytes,Free-living sporophytes,Absence of gametophyte,B
132,Botany,Biotechnology,Southern blotting is used for detection of:,DNA sequences,RNA sequences,Protein sequences,Lipid sequences,A
133,Botany,Cell Division,Colchicine is used to arrest cell division at metaphase because it:,Inhibits DNA synthesis,Inhibits spindle formation,Inhibits cytokinesis,Promotes G1 phase,B
134,Botany,Respiration,The electron transport chain (ETC) in mitochondria is located in:,Matrix,Outer membrane,Inner mitochondrial membrane,Intermembrane space,C
135,Botany,Plant Growth,Long-day plants flower when the dark period is:,Longer than critical night length,Shorter than critical night length,Equal to critical night length,Independent of night length,B
136,Zoology,Animal Kingdom,Which phylum has radial symmetry in adults but bilateral symmetry in larvae?,Coelenterata,Echinodermata,Mollusca,Annelida,B
137,Zoology,Animal Kingdom,"In earthworm, the clitellum helps in:",Locomotion,Cocoon formation for reproduction,Excretion,Digestion,B
138,Zoology,Animal Kingdom,The open circulatory system is found in:,Earthworm,Cockroach,Frog,Fish,B
139,Zoology,Animal Kingdom,Which group of animals is triploblastic and acoelomate?,Porifera,Platyhelminthes,Annelida,Echinodermata,B
140,Zoology,Animal Kingdom,The larva of frog is called:,Nauplius,Tadpole,Trochophore,Planula,B
141,Zoology,Human Physiology,Gastric juice contains HCl which:,Activates pepsinogen to pepsin,Digests carbohydrates,Emulsifies fats,Activates bile,A
142,Zoology,Human Physiology,Pulmonary vein carries:,Deoxygenated blood to lungs,Oxygenated blood to heart,Deoxygenated blood to heart,Oxygenated blood to lungs,B
143,Zoology,Human Physiology,The process of filtration in the kidney occurs in:,Loop of Henle,Bowman's capsule and glomerulus,Collecting duct,Distal convoluted tubule,B
144,Zoology,Human Physiology,The hormone ADH (antidiuretic hormone) targets:,Loop of Henle,Collecting duct,Proximal convoluted tubule,Glomerulus,B
145,Zoology,Human Physiology,Acetylcholine is the neurotransmitter at:,Adrenergic synapse,Neuromuscular junction,CNS inhibitory synapse,Adrenal medulla synapse,B
146,Zoology,Human Physiology,The normal blood pressure is 120/80 mmHg. Here 80 mmHg represents:,Systolic pressure,Diastolic pressure,Pulse pressure,Mean arterial pressure,B
147,Zoology,Human Physiology,Spermatogenesis begins at puberty due to increased secretion of:,FSH and LH,Only LH,Only FSH,Testosterone only,A
148,Zoology,Human Physiology,The site of fertilization in humans is usually:,Uterus,Fallopian tube (oviduct),Cervix,Ovary,B
149,Zoology,Human Physiology,Tidal volume is the amount of air:,Remaining after maximum expiration,Inspired or expired in normal breathing,Maximum that can be inspired,Difference between IRV and ERV,B
150,Zoology,Human Physiology,The protein that prevents the reversal of muscle contraction (keeps myosin away from actin at rest) is:,Actin,Tropomyosin,Myosin,Titin,B
151,Zoology,Genetics,Which of the following is a chromosomal disorder?,Phenylketonuria,Down syndrome,Sickle cell anemia,Colour blindness,B
152,Zoology,Genetics,"In humans, sex is determined by:",XX-XY mechanism,ZW-ZZ mechanism,Haploid-diploid,Temperature,A
153,Zoology,Genetics,A man with genotype XᴬY mates with a normal woman. The probability of colour blind sons is:,0%,25%,50%,100%,C
154,Zoology,Evolution,The geological era when reptiles dominated is called:,Palaeozoic,Mesozoic,Cenozoic,Precambrian,B
155,Zoology,Evolution,Vestigial organs in humans include:,Thumb,Appendix and coccyx,Cerebellum,All limbs,B
156,Zoology,Molecular Biology,The template strand of DNA is read in which direction by RNA polymerase?,5' to 3',3' to 5',Both directions,Random,B
157,Zoology,Human Health,HIV primarily attacks:,B lymphocytes,T helper cells (CD4+),NK cells,Neutrophils,B
158,Zoology,Human Health,The vaccine for tuberculosis (TB) is:,MMR,BCG,DPT,OPV,B
159,Zoology,Human Health,Interferons are proteins produced by virus-infected cells that:,Kill the virus directly,Protect neighbouring cells from viral infection,Produce antibodies,Activate T cells,B
160,Zoology,Biotechnology,ELISA test is used for detection of:,Antigens or antibodies,DNA sequences,Enzyme activity,Hormone levels,A
161,Zoology,Animal Kingdom,Flame cells are the excretory structures in:,Annelida,Platyhelminthes,Arthropoda,Echinodermata,B
162,Zoology,Human Physiology,The gastric hormone gastrin stimulates secretion of:,Bile,HCl by parietal cells,Pancreatic juice,Mucus,B
163,Zoology,Human Physiology,The major site of urea synthesis is:,Kidney,Liver,Small intestine,Spleen,B
164,Zoology,Human Physiology,Calcitonin is secreted by the thyroid gland and:,Increases blood calcium,Decreases blood calcium,Has no effect on calcium,Stimulates PTH,B
165,Zoology,Human Physiology,"During expiration, the diaphragm:",Contracts and moves down,Relaxes and moves up,Remains unchanged,Moves sideways,B
166,Zoology,Human Physiology,The H-zone in a sarcomere disappears during muscle contraction because:,Actin filaments are degraded,Myosin heads pull actin filaments to overlap H-zone,Sarcomere length increases,ATP is depleted,B
167,Zoology,Genetics,"If both parents are carriers of autosomal recessive disease, the probability of affected child is:",0%,25%,50%,75%,B
168,Zoology,Evolution,The concept of 'survival of the fittest' is associated with:,Lamarck,Darwin,De Vries,Mendel,B
169,Zoology,Human Health,Monoclonal antibodies are produced by:,B lymphocytes alone,Hybridoma technique,T lymphocytes,Macrophages,B
170,Zoology,Animal Kingdom,The notochord in chordates is replaced by vertebral column in:,All chordates,Vertebrates,Urochordates,Cephalochordates,B
171,Zoology,Human Physiology,Progesterone is mainly produced by:,Anterior pituitary,Corpus luteum,Adrenal cortex,Thyroid,B
172,Zoology,Molecular Biology,"In translation, the ribosome moves along mRNA in which direction?",3' to 5',5' to 3',Both directions,Stationary,B
173,Zoology,Ecology,The relationship between clownfish and sea anemone is an example of:,Parasitism,Mutualism,Commensalism,Predation,B
174,Zoology,Human Health,The most common cancer in women worldwide is:,Lung cancer,Breast cancer,Cervical cancer,Ovarian cancer,B
175,Zoology,Animal Kingdom,Compound eyes are found in:,Cockroach and other Arthropods,Snakes,Earthworms,Hydra,A
176,Zoology,Human Physiology,The P wave in an ECG represents:,Ventricular depolarization,Atrial depolarization,Ventricular repolarization,Atrial repolarization,B
177,Zoology,Genetics,Linkage was first discovered by:,Morgan in Drosophila,Mendel in pea,Bateson and Punnett,de Vries,C
178,Zoology,Evolution,Which of the following is considered the most direct evidence of evolution?,Comparative anatomy,Fossil record,Embryology,Biogeography,B
179,Zoology,Human Health,The full form of ELISA is:,Enzyme Linked Immunosorbent Assay,Enzyme Linked Immune Specific Assay,Enzymatic Linked Immunological Serum Assay,Enzyme Labelled Immune Serum Assay,A
180,Zoology,Human Physiology,The juxtaglomerular apparatus secretes:,Aldosterone,Renin,ADH,Erythropoietin,B
